observation_id,model,feature,contribution
obs_e23e597521391cf3,K-Means,distributor_concentration,0.11640153839328028
obs_e23e597521391cf3,K-Means,latitude_dispersion,0.10944622264273224
obs_e23e597521391cf3,K-Means,subchannel_mix,0.10568585735681942
obs_615f1e87ef3d13b8,K-Means,simulated_actual_payout_rolling_mean_3,0.11489967640670581
obs_615f1e87ef3d13b8,K-Means,subchannel_mix,0.09516729170340858
obs_615f1e87ef3d13b8,K-Means,customer_concentration,0.08343237637183903
obs_e34700c8cd07293a,K-Means,simulated_actual_payout_rolling_median,0.16726861685104738
obs_e34700c8cd07293a,K-Means,simulated_actual_payout_lag_2,0.0964484291568719
obs_e34700c8cd07293a,K-Means,simulated_actual_payout_rolling_mean_3,0.04965224967402475
obs_99444d4e9650045b,K-Means,simulated_actual_payout_lag_3,0.17713123541590575
obs_99444d4e9650045b,K-Means,simulated_actual_payout_rolling_mean_3,0.04402155215931959
obs_99444d4e9650045b,K-Means,distinct_customers_acceleration,0.03220256686845725
obs_b860fa3f27bce88a,K-Means,product_breadth_change,0.04912492779983467
obs_b860fa3f27bce88a,K-Means,total_quantity_acceleration,0.04376696150332304
obs_b860fa3f27bce88a,K-Means,total_quantity_month_over_month_growth,0.04195276427778527
obs_614d2c48e59c5a11,K-Means,product_class_share,0.10992979177679107
obs_614d2c48e59c5a11,K-Means,customer_concentration,0.06498332218671574
obs_614d2c48e59c5a11,K-Means,city_concentration,0.06498322718715581
obs_2b54b4193131acb6,K-Means,simulated_actual_payout_lag_6,0.15903829442384218
obs_2b54b4193131acb6,K-Means,total_sales_trend,0.09668203671597626
obs_2b54b4193131acb6,K-Means,total_quantity_trend,0.08170220684360432
obs_1f48c1ee3e71a112,K-Means,total_sales_lag_2,0.10091498467529263
obs_1f48c1ee3e71a112,K-Means,total_quantity_lag_2,0.07039446211618808
obs_1f48c1ee3e71a112,K-Means,total_sales_rolling_mean_3,0.04749166089244471
obs_fac9a84a13517c49,K-Means,total_sales_lag_3,0.07139307396747685
obs_fac9a84a13517c49,K-Means,total_quantity_lag_3,0.05112954223464578
obs_fac9a84a13517c49,K-Means,total_quantity_peer_country_product_class_relative,0.04567603251392669
obs_0d38ba308d8034c2,K-Means,total_quantity_rolling_MAD,0.04833926726379059
obs_0d38ba308d8034c2,K-Means,total_quantity_lag_1,0.04708002669556057
obs_0d38ba308d8034c2,K-Means,total_sales_rolling_MAD,0.04588292097864741
