observation_id,representative,product_class,date,total_sales,total_quantity,distinct_customers,simulated_actual_payout
obs_e23e597521391cf3,Abigail Thompson,Analgesics,2017-01-01,1790892.0,3905.0,53,9943.650485436894
obs_615f1e87ef3d13b8,Abigail Thompson,Analgesics,2017-02-01,2463255.0,5807.0,48,1419.2168684221774
obs_e34700c8cd07293a,Abigail Thompson,Analgesics,2017-03-01,3778609.0,9326.0,69,1905.8683956998111
obs_99444d4e9650045b,Abigail Thompson,Analgesics,2017-04-01,1415197.0,3187.0,55,668.3420930545901
obs_b860fa3f27bce88a,Abigail Thompson,Analgesics,2017-05-01,3403401.0,8083.0,72,1426.7817458677546
obs_614d2c48e59c5a11,Abigail Thompson,Analgesics,2017-06-01,17745535.0,28468.0,68,3781.0967995369265
obs_2b54b4193131acb6,Abigail Thompson,Analgesics,2017-07-01,8006334.0,19268.0,73,2391.966492609193
obs_1f48c1ee3e71a112,Abigail Thompson,Analgesics,2017-08-01,2411744.0,6711.0,76,469.3418700549665
obs_fac9a84a13517c49,Abigail Thompson,Analgesics,2017-09-01,12146331.0,36942.0,58,1591.128906334041
obs_0d38ba308d8034c2,Abigail Thompson,Analgesics,2017-10-01,4786318.0,8740.0,53,685.3032248852892
obs_61ac42657d7331dd,Abigail Thompson,Analgesics,2017-11-01,3367495.0,9989.0,71,762.3060076700749
obs_43a512da6ca25bcc,Abigail Thompson,Analgesics,2017-12-01,2189547.0,4963.0,52,583.101632571389
obs_1753f2f158ae70ac,Abigail Thompson,Analgesics,2018-01-01,5203127.0,10523.0,93,1625.125134428739
obs_f515e3cb78631885,Abigail Thompson,Analgesics,2018-02-01,6554225.0,19021.0,120,2112.03960314657
obs_1fc0b0ecd7830d62,Abigail Thompson,Analgesics,2018-03-01,6503936.0,22379.0,123,1266.9966471301261
obs_d814e046eaa60d15,Abigail Thompson,Analgesics,2018-04-01,2500109.0,5456.0,76,529.9024649760702
obs_76bde88d2475a77f,Abigail Thompson,Analgesics,2018-05-01,1807500.0,4601.0,104,452.3606592529553
obs_03a31da4d41327a0,Abigail Thompson,Analgesics,2018-06-01,20918171.0,48233.0,94,5311.603690778111
obs_33d19603a3759bab,Abigail Thompson,Analgesics,2018-07-01,3633667.0,8020.0,112,1513.8391160320168
obs_791d08d7ef65ea42,Abigail Thompson,Analgesics,2018-08-01,6957876.0,12328.0,79,2073.8299689665178
obs_5a95dfdf8550b3c1,Abigail Thompson,Analgesics,2018-09-01,2547776.0,6784.0,85,516.6297443399575
obs_0011949b2bb7fbcd,Abigail Thompson,Analgesics,2018-10-01,9556076.0,19900.0,137,2526.636478978452
obs_063693637ef59cce,Abigail Thompson,Analgesics,2018-11-01,4607345.0,11339.0,108,732.1676707198677
obs_1b443ebac94ac4d4,Abigail Thompson,Analgesics,2018-12-01,1883562.0,3652.0,87,547.6824457806697
obs_b5b4c5d2b06e9f98,Abigail Thompson,Analgesics,2019-01-01,1964586.0,3868.0,39,560.4876640251092
obs_b06ed11f42fcfbdf,Abigail Thompson,Analgesics,2019-02-01,1661147.0,2913.0,47,865.6885258535016
obs_2df2349d5d6d4af1,Abigail Thompson,Analgesics,2019-03-01,2487367.0,5703.0,65,1352.6280376460454
obs_62f13cc5df51a157,Abigail Thompson,Analgesics,2019-04-01,15905135.0,22654.0,50,5180.059218781133
obs_43336d845ea431bc,Abigail Thompson,Antibiotics,2017-01-01,1609952.0,3772.0,46,9065.300970873786
obs_baf5625da2096882,Abigail Thompson,Antibiotics,2017-02-01,1674851.0,3407.0,40,1012.5135190667447
obs_c6bc5c9e95ff4666,Abigail Thompson,Antibiotics,2017-03-01,2034302.0,4761.0,46,1253.1727058189585
obs_de9e824837a99403,Abigail Thompson,Antibiotics,2017-04-01,1377379.0,3087.0,41,848.8269247750443
obs_e3f6a3859fd7ad45,Abigail Thompson,Antibiotics,2017-05-01,1558997.0,3135.0,52,927.786854049263
obs_b5111b97e6ed38c7,Abigail Thompson,Antibiotics,2017-06-01,1446748.0,3450.0,45,925.7275873868891
obs_05c6a0c0b9d9e885,Abigail Thompson,Antibiotics,2017-07-01,1510609.0,3654.0,51,1017.161488742036
obs_de55c5814290b874,Abigail Thompson,Antibiotics,2017-08-01,2118427.0,3966.0,56,1451.900725732508
obs_70f1c06cda49ce50,Abigail Thompson,Antibiotics,2017-09-01,2462912.0,6677.0,58,1728.652896802818
