representative,team,country,product_class,date,workload,allocated_fte
Abigail Thompson,Bravo,Germany,Analgesics,2019-04-01,0.9278400248988484,0.18029042212183072
Abigail Thompson,Bravo,Germany,Antibiotics,2019-04-01,0.6998725543857391,0.13599361406665422
Abigail Thompson,Bravo,Germany,Antimalarial,2019-04-01,0.8080194146624166,0.15700784342430502
Abigail Thompson,Bravo,Germany,Antipiretics,2019-04-01,0.7702949762280392,0.14967753351405472
Abigail Thompson,Bravo,Germany,Antiseptics,2019-04-01,1.0760740311450252,0.20909406374296777
Abigail Thompson,Bravo,Germany,Mood Stabilizers,2019-04-01,0.8642623716153127,0.16793652313018756
Alan Ray,Alfa,Germany,Analgesics,2019-04-01,0.8292016806722688,0.16827656000025262
Alan Ray,Alfa,Germany,Antibiotics,2019-04-01,0.8192432145271902,0.16625560844548226
Alan Ray,Alfa,Germany,Antimalarial,2019-04-01,0.586259752943323,0.11897440247819757
Alan Ray,Alfa,Germany,Antipiretics,2019-04-01,0.7125800895070672,0.14460960340758697
Alan Ray,Alfa,Germany,Antiseptics,2019-04-01,1.0937548965946533,0.22196446989007607
Alan Ray,Alfa,Germany,Mood Stabilizers,2019-04-01,0.8865728666945705,0.17991935577840446
Anne Wu,Delta,Germany,Analgesics,2019-04-01,0.6898301082885262,0.14327304581969919
Anne Wu,Delta,Germany,Antibiotics,2019-04-01,0.7125269648089121,0.14798702934279626
Anne Wu,Delta,Germany,Antimalarial,2019-04-01,0.6428464105948893,0.13351484971958952
Anne Wu,Delta,Germany,Antipiretics,2019-04-01,0.7067691061098771,0.14679116105102671
Anne Wu,Delta,Germany,Antiseptics,2019-04-01,1.198161563475965,0.24885004948420517
Anne Wu,Delta,Germany,Mood Stabilizers,2019-04-01,0.8646591970121381,0.1795838645826832
Daniel Gates,Charlie,Germany,Analgesics,2019-04-01,0.8600295673825086,0.16946011072482892
Daniel Gates,Charlie,Germany,Antibiotics,2019-04-01,0.7343979737488865,0.1447056783481784
Daniel Gates,Charlie,Germany,Antimalarial,2019-04-01,0.6417077175697865,0.12644200268987743
Daniel Gates,Charlie,Germany,Antipiretics,2019-04-01,0.6501824484583106,0.12811186252865397
Daniel Gates,Charlie,Germany,Antiseptics,2019-04-01,1.2189470040889918,0.24018115436343793
Daniel Gates,Charlie,Germany,Mood Stabilizers,2019-04-01,0.9698503922641853,0.1910991913450233
Erica Jones,Alfa,Germany,Analgesics,2019-04-01,0.8184173669467787,0.16516195803023523
Erica Jones,Alfa,Germany,Antibiotics,2019-04-01,0.754139165244642,0.15219019804499329
Erica Jones,Alfa,Germany,Antimalarial,2019-04-01,0.6062502012299172,0.12234524135882448
Erica Jones,Alfa,Germany,Antipiretics,2019-04-01,0.7067691061098771,0.142630611415138
Erica Jones,Alfa,Germany,Antiseptics,2019-04-01,1.053324049926484,0.2125676574718978
Erica Jones,Alfa,Germany,Mood Stabilizers,2019-04-01,1.016341479120384,0.20510433367891126
Jessica Smith,Delta,Germany,Analgesics,2019-04-01,0.8006833767989954,0.179654181724333
Jessica Smith,Delta,Germany,Antibiotics,2019-04-01,0.6589490968801314,0.1478524023706655
Jessica Smith,Delta,Germany,Antimalarial,2019-04-01,0.6686478422786739,0.15002856865413916
Jessica Smith,Delta,Germany,Antipiretics,2019-04-01,0.5326287603163871,0.11950914290244882
Jessica Smith,Delta,Germany,Antiseptics,2019-04-01,0.9747705978943302,0.21871518656195046
Jessica Smith,Delta,Germany,Mood Stabilizers,2019-04-01,0.8211237751805702,0.18424051778646297
Jimmy Grey,Charlie,Germany,Analgesics,2019-04-01,0.9713754467304163,0.20008444634313624
Jimmy Grey,Charlie,Germany,Antibiotics,2019-04-01,0.640579488500381,0.13194691375696146
Jimmy Grey,Charlie,Germany,Antimalarial,2019-04-01,0.841606834304603,0.1733546365076795
Jimmy Grey,Charlie,Germany,Antipiretics,2019-04-01,0.7656653465984095,0.1577121672921849
Jimmy Grey,Charlie,Germany,Antiseptics,2019-04-01,0.8160546594116574,0.1680913855334793
Jimmy Grey,Charlie,Germany,Mood Stabilizers,2019-04-01,0.8195455960161842,0.1688104505665587
Mary Gerrard,Delta,Germany,Analgesics,2019-04-01,0.942814482114685,0.18589272224420572
Mary Gerrard,Delta,Germany,Antibiotics,2019-04-01,0.689776983590371,0.13600185789828959
Mary Gerrard,Delta,Germany,Antimalarial,2019-04-01,0.6789926698648808,0.13387553774305563
Mary Gerrard,Delta,Germany,Antipiretics,2019-04-01,0.8978497912574991,0.17702712997035402
Mary Gerrard,Delta,Germany,Antiseptics,2019-04-01,0.9646323663565043,0.19019450798494214
Mary Gerrard,Delta,Germany,Mood Stabilizers,2019-04-01,0.8977540058168861,0.1770082441591529
Morris Garcia,Bravo,Germany,Analgesics,2019-04-01,0.8068380608948559,0.17314487144217128
Morris Garcia,Bravo,Germany,Antibiotics,2019-04-01,0.632008972171244,0.13562710727295402
Morris Garcia,Bravo,Germany,Antimalarial,2019-04-01,0.7194766412312051,0.15439738974814696
Morris Garcia,Bravo,Germany,Antipiretics,2019-04-01,0.6559403071573456,0.1407626953425259
Morris Garcia,Bravo,Germany,Antiseptics,2019-04-01,0.9948672955772349,0.21349534478293372
Morris Garcia,Bravo,Germany,Mood Stabilizers,2019-04-01,0.8507703081232493,0.18257259141126816
Sheila Stones,Delta,Germany,Analgesics,2019-04-01,0.9845224679910279,0.18451717633246295
Sheila Stones,Delta,Germany,Antibiotics,2019-04-01,0.6640182126490443,0.12444892789632826
Sheila Stones,Delta,Germany,Antimalarial,2019-04-01,0.6856399647981798,0.12850123222012882
Sheila Stones,Delta,Germany,Antipiretics,2019-04-01,0.7810792899535294,0.146388274274817
Sheila Stones,Delta,Germany,Antiseptics,2019-04-01,1.2078603088745077,0.22637469518838016
Sheila Stones,Delta,Germany,Mood Stabilizers,2019-04-01,1.012548161026863,0.1897696940878828
Stella Given,Charlie,Germany,Analgesics,2019-04-01,0.7564592120373054,0.1385548675769843
Stella Given,Charlie,Germany,Antibiotics,2019-04-01,0.9417289137877374,0.17248930658384581
Stella Given,Charlie,Germany,Antimalarial,2019-04-01,0.8650986831514215,0.1584535313705156
Stella Given,Charlie,Germany,Antipiretics,2019-04-01,0.7337092308187643,0.1343879269343758
Stella Given,Charlie,Germany,Antiseptics,2019-04-01,1.177032422164268,0.21558805655571106
Stella Given,Charlie,Germany,Mood Stabilizers,2019-04-01,0.9856080363179756,0.18052631097856736
Steve Pepple,Bravo,Germany,Analgesics,2019-04-01,0.8719421101774043,0.17020891693524248
Steve Pepple,Bravo,Germany,Antibiotics,2019-04-01,0.7387783465876773,0.14421446190081755
