observation_id,representative,manager,team,country,product_class,month,source_partition,sales,quantity,transaction_count,transaction_value,unique_customers,new_customers,product_breadth,city_coverage,geographic_spread,distributor_count,distributor_concentration,distributor_mix_change,channel_mix,subchannel_mix,simulated_target,simulated_expected_incentive,simulated_actual_payout,simulated_adjustment,simulated_payout_delta,simulated_attainment,repeat_customers,lost_customers,distributor_mix_summary,channel_summary,pca_raw_score,pca_score_percentile,pca_review_flag,pca_threshold_exceedance,pca_raw_threshold,ewma_score,robust_peer_percentile,kmeans_percentile,autoencoder_percentile,isolation_forest_percentile,temporal_review_flag,robust_peer_flag,peer_flag,kmeans_distance,kmeans_cluster,dbscan_cluster,dbscan_noise,top_driver_1_feature,top_driver_1,top_driver_1_contribution,top_driver_2_feature,top_driver_2,top_driver_2_contribution,top_driver_3_feature,top_driver_3,top_driver_3_contribution,strongest_peer_deviation_metric,strongest_peer_deviation_value,peer_comparison_cohort,strongest_history_deviation_metric,strongest_history_deviation_value,temporal_metric_feature,temporal_observed,temporal_expected,temporal_direction,temporal_history_length,temporal_available,temporal_metric,ewma_sales_observed,ewma_sales_expected,ewma_sales_raw_score,ewma_sales_history_length,ewma_sales_available,business_rule_flag,business_rule_summary,number_of_supporting_signals,review_priority,model_agreement_summary,pca_rank,review_rank
obs_6503b2dd1b66b41d,Jessica Smith,Britanny Bold,Delta,Germany,Analgesics,2019-02-01,test,2142025.0,5665.0,54,39667.12962962963,51,6,31,51,2.6164002867014773,4,0.3794680886693535,0.1842587563624127,0.4713587703162092,0.6795938875597944,1184043.71,2011.3449380175327,2011.3449380175327,0.0,0.0,180.90759504140263,45,52,4 distributors; concentration index 0.379; mix change 0.184,Channel diversity index 0.471; subchannel diversity index 0.680,4.236448512433933,0.999976065930476,True,True,0.0837369402687258,0.6628474949500351,0.4607938393675283,0.9956501771309504,0.9979196584106992,0.9802514117824912,False,False,False,30.98715728438436,3,-1,True,total_quantity_lag_3,Quantity: lag 3,335.65382790532,total_sales_trend,Sales: prior trend,26.774282186803934,simulated_actual_payout_trend,DEMO payout: prior trend,18.83721567865265,Customer coverage,-1.146634291110212,product_class|peer_country|team|date,Customer coverage: personal history deviation,-4.669551411761044,distinct_customers,51.0,84.24734190688358,down,25,True,Customer coverage,2142025.0,2932190.328225563,0.449886728209578,25,True,False,,0,High,PCA only,1,1
obs_a1e4ca82ef0309af,Jessica Smith,Britanny Bold,Delta,Germany,Analgesics,2019-01-01,test,941037.0,2272.0,59,15949.77966101695,55,3,31,55,2.399619172501996,3,0.4534120003297859,0.748755012577604,0.4940422309062764,0.6807155735551771,3497897.51,451.7719924561197,451.7719924561197,0.0,0.0,26.902932327482628,52,83,3 distributors; concentration index 0.453; mix change 0.749,Channel diversity index 0.494; subchannel diversity index 0.681,3.950387982278847,0.9999739476481474,True,True,0.0837369402687258,0.8859846098463003,0.5645889611781718,0.9955116202159122,0.9978663926672888,0.989662232702972,False,False,False,28.968796444992304,0,-1,True,total_quantity_lag_2,Quantity: lag 2,319.28159777455016,distinct_customers_lag_2,Customer coverage: lag 2,13.090097118606096,total_sales_acceleration,Sales: change in growth,11.087651820220293,Customer coverage,1.3402061855670102,product_class|peer_country|team|date,Sales: personal history deviation,-7.278225299130367,total_sales,941037.0,3785541.754607947,down,24,True,Sales,941037.0,3785541.754607947,8.227201563376669,24,True,False,,0,High,PCA only,2,2
obs_438e87ccdfc7619e,Jessica Smith,Britanny Bold,Delta,Germany|Poland,Analgesics,2018-12-01,validation,3396017.0,14342.0,96,35375.177083333336,87,8,39,87,5.787871640285396,15,0.2178214507547328,0.6575635916937271,0.4007243188099634,0.6880684967763804,3241815.8200000003,1059.4578735197854,1059.4578735197854,0.0,0.0,104.75662988158284,79,88,15 distributors; concentration index 0.218; mix change 0.658,Channel diversity index 0.401; subchannel diversity index 0.688,3.7519550130636055,0.999972243581344,True,True,0.0837369402687258,0.5119983025538984,0.5992853149451526,0.9953533143663744,0.9978342862741492,0.9487352626693372,False,False,False,26.665648331696897,2,-1,True,total_quantity_lag_1,Quantity: lag 1,364.3619323941805,simulated_actual_payout_acceleration,DEMO payout: change in growth,8.038219523907143,total_sales_acceleration,Sales: change in growth,7.200774074511241,DEMO payout,1.435639772521585,product_class|peer_country|team|date,Quantity: personal history deviation,1.5391424963743738,total_quantity,14342.0,7394.888212836632,up,23,True,Quantity,3396017.0,3952480.9351542094,0.3511197260150354,23,True,True,Sales growth is concentrated in few customers,1,High,PCA + Business Rule,3,3
obs_1ef450087534d063,Jessica Smith,Britanny Bold,Delta,Germany|Poland,Analgesics,2018-11-01,validation,1149557.0,-1012.0,112,10263.901785714286,98,4,39,98,5.50817906198405,11,0.2528314754441344,0.5294675659756013,0.4151040867413815,0.6382337125504378,3624426.83,487.8769914359121,487.8769914359121,0.0,0.0,31.716932191454944,94,95,11 distributors; concentration index 0.253; mix change 0.529,Channel diversity index 0.415; subchannel diversity index 0.638,3.479662493225597,0.999969506630638,True,True,0.0837369402687258,0.7368732069530202,0.6989618177085901,0.9952212915171632,0.9978144080251444,0.9717814817289864,False,False,False,24.76125497574485,3,-1,True,total_quantity,Quantity,370.8108476837253,total_quantity_product_class_relative,Quantity: product class relative,5.438221444747104,total_quantity_peer_country_product_class_relative,Quantity: peer country product class relative,5.282117771096357,Quantity,-1.7880387989351627,product_class|peer_country|team|date,Quantity: personal history deviation,-3.783978100389256,total_quantity,-1012.0,10997.840304052334,down,22,True,Quantity,1149557.0,5153734.0502203,3.5455898973084845,22,True,False,,0,High,PCA only,4,4
obs_155361f7eadc6348,Erica Jones,James Goodwill,Alfa,Germany|Poland,Antimalarial,2018-04-01,train,1256918.0,4335.0,79,15910.354430379746,77,28,32,77,5.17779940066324,11,0.4139720963122691,0.3768252015834269,0.4527732367982754,0.7067017978769341,3188530.83,545.6497993152539,545.6497993152539,0.0,0.0,39.419973242033855,49,62,11 distributors; concentration index 0.414; mix change 0.377,Channel diversity index 0.453; subchannel diversity index 0.707,0.7971163700450058,0.998932384341637,True,True,0.0837369402687258,0.5797153024911033,0.1487544483985765,0.995373665480427,0.4039145907473309,0.9227758007117438,False,False,False,26.959207564965144,0,-1,True,total_sales_lag_12,Sales: lag 12,27.451818869543,total_sales_year_over_year_growth,Sales: year-over-year change,16.184429149994696,total_quantity_lag_12,Quantity: lag 12,15.27991754306844,DEMO payout,-0.6744907594765952,product_class|peer_country|date,DEMO payout: personal history deviation,-2.8031335445877823,total_sales,1256918.0,2363235.2463945337,down,15,True,Sales,1256918.0,2363235.2463945337,2.771245331253742,15,True,False,,0,High,PCA only,5,5
obs_e43c1d5c2e90b7e1,Steve Pepple,Tracy Banks,Bravo,Germany,Antibiotics,2019-03-01,test,5555970.0,9000.0,53,104829.62264150944,53,4,27,53,2.4785968520852486,4,0.4934587011371001,0.4679253195148312,0.0873502969690627,0.5419437895811514,3181839.95,1932.6875672989145,1932.6875672989145,0.0,0.0,174.61500538391314,49,42,4 distributors; concentration index 0.493; mix change 0.468,Channel diversity index 0.087; subchannel diversity index 0.542,0.4173010835565361,0.9982727813695748,True,True,0.0837369402687258,0.6887774027697238,0.7023094968278097,0.9907154681966672,0.9975233912251272,0.987673264320727,False,False,False,12.843871724010832,2,-1,True,product_mix_change,Product mix change,6.544823250368163,new_customers,New customers,3.973217647809828,subchannel_mix,Subchannel mix diversity,2.7498147224792344,Sales,1.806659104795664,product_class|peer_country|date,DEMO payout: personal history deviation,3.2969914814485,simulated_actual_payout,1932.6875672989145,1078.321900693221,up,26,True,DEMO payout,5555970.0,2863408.293962175,2.6862065579523478,26,True,False,,0,High,PCA only,6,6
obs_4a7a18a2c9e2173c,Steve Pepple,Tracy Banks,Bravo,Germany,Antimalarial,2017-01-01,train,300795.0,1618.0,36,8355.416666666666,35,35,23,35,3.17881362381009,8,0.2330091680396586,0.0,0.4689898341634606,0.6025238847725278,103000.0,2710.169902912621,2710.169902912621,0.0,0.0,292.0339805825243,0,,8 distributors; concentration index 0.233; mix change 0.000,Channel diversity index 0.469; subchannel diversity index 0.603,0.3872771543190792,0.998220640569395,True,True,0.0837369402687258,0.0832740213523131,0.6466192170818506,0.9932384341637012,0.9960854092526692,0.9398576512455517,False,False,False,15.053021634450356,1,0,False,simulated_payout_to_sales_ratio,DEMO payout relative to sales,15.89633891127846,customer_loss_rate,Customer loss rate,10.9964066403223,simulated_actual_payout_peer_median,DEMO payout: peer median,3.103799778336545,Quantity,-1.570173742125666,product_class|peer_country|date,,,distinct_customers,35.0,,,0,False,Customer coverage,300795.0,,0.0,0,False,True,High DEMO attainment without customer growth,1,High,PCA + Business Rule,7,7
obs_45712c66dd35cc62,Mary Gerrard,Britanny Bold,Delta,Germany,Antimalarial,2019-02-01,test,14761570.0,29301.0,52,283876.3461538461,47,4,27,47,2.2820600609013524,7,0.5404164291649541,0.9516781272867876,0.413054326496417,0.4247639790269684,884886.39,9590.940807101802,9590.940807101802,0.0,0.0,1668.1881614203603,43,37,7 distributors; concentration index 0.540; mix change 0.952,Channel diversity index 0.413; subchannel diversity index 0.425,0.3430401030294803,0.9979225880855066,True,True,0.0837369402687258,0.9961052831931644,0.9971606742717108,0.9944648380663144,0.9975118026438344,0.9993783581936496,True,True,True,16.25390511783224,2,-1,True,product_concentration,Product concentration,3.2636945661042285,total_quantity_lag_2,Quantity: lag 2,2.787892376049496,simulated_actual_payout_year_over_year_growth,DEMO payout: year-over-year change,2.614411172886289,Sales,16.67116983307418,product_class|peer_country|team|date,DEMO payout: personal history deviation,55.55607116605118,simulated_actual_payout,9590.940807101802,816.084283918839,up,25,True,DEMO payout,14761570.0,1725158.4680911417,14.127506918809493,25,True,True,Sales growth is concentrated in few customers,3,High,PCA + Peer + Temporal + Business Rule,8,8
obs_49643e3e73b66e9f,Mary Gerrard,Britanny Bold,Delta,Germany,Analgesics,2019-04-01,test,1600352.0,4851.0,51,31379.45098039216,50,0,32,50,2.547899206597543,4,0.4364400267309473,0.1862263900087287,0.4995941248515846,0.690737391051404,3204950.06,624.5031833662956,624.5031833662956,0.0,0.0,49.93375778217274,50,63,4 distributors; concentration index 0.436; mix change 0.186,Channel diversity index 0.500; subchannel diversity index 0.691,0.3180001379150445,0.9977538782917644,True,True,0.0837369402687258,0.2671140108358349,0.0831693033893922,0.9919352737573116,0.9973138136272623,0.9674817148638966,False,False,False,13.283777527172749,3,-1,True,new_customers,New customers,14.557783267714244,distributor_mix_change,Distributor mix change,4.034235704844528,distinct_customers_rolling_std,Customer coverage: rolling std,2.0388229426081343,Sales,-0.5836631247681534,product_class|peer_country|team|date,Quantity: personal history deviation,-1.121418060485615,total_quantity,4851.0,11338.010661141234,down,27,True,Quantity,1600352.0,4027932.506166963,1.167839609727784,27,True,False,,0,High,PCA only,9,9
obs_892b1b9eb570ead3,Stella Given,Alisha Cordwell,Charlie,Germany,Antiseptics,2019-04-01,test,5441685.0,12173.0,66,82449.77272727272,64,0,36,64,2.5384911730215176,4,0.8501438710150413,0.7432511253088663,0.3506921586799649,0.4525857248980821,3894643.21,1496.5287275955632,1496.5287275955632,0.0,0.0,139.72229820764505,64,76,4 distributors; concentration index 0.850; mix change 0.743,Channel diversity index 0.351; subchannel diversity index 0.453,0.3160161032102379,0.9977405106179558,True,True,0.0837369402687258,0.4149566412045346,0.7032208199254015,0.9904495472503022,0.9975104127348352,0.9662478829392516,False,False,False,12.724863496797717,2,-1,True,new_customers,New customers,15.01210602535822,distributor_concentration,Distributor concentration,3.14092878204642,distinct_customers_rolling_std,Customer coverage: rolling std,1.631395779947478,Sales,1.8152584010478727,product_class|peer_country|date,Sales: personal history deviation,1.4882696950985903,total_sales,5441685.0,3411403.9694509124,up,27,True,Sales,5441685.0,3411403.9694509124,1.9389116488480465,27,True,False,,0,High,PCA only,10,10
