review_rank,observation_id,rep_id,rep_name,manager_id,manager_name,team_id,team_name,territory_id,territory_name,period,split,anomaly_score,anomaly_percentile,raw_score,raw_threshold,threshold_flag,manager_review_flag,review_priority,risk_band,primary_reason_code,primary_reason,secondary_reason,driver_1_name,driver_1_value,driver_1_peer_value,driver_1_percentile,driver_2_name,driver_2_value,driver_2_peer_value,driver_3_name,driver_3_value,recommended_review_action,gross_sales,net_sales,target_sales,attainment_pct,final_incentive_paid,expected_incentive,incentive_residual,payout_to_peer_median_ratio,average_discount_pct,post_incentive_return_rate,impossible_travel_count,capacity_utilization_pct,fte_gap,currency_code,data_lineage
1,RPER_adb7425d1ba527fb,REP_6daf09991b71,Jimmy Grey,MGR_4b97498897f6,Alisha Cordwell,TEAM_b9dd960c1753,Charlie,TERR_938541fb7311,Charlie / Germany,2019-01-01,test,0.9965187143318572,99.65187143318572,264.3821623057947,169.75496134126422,True,True,High,high,PCA_RECONSTRUCTION_UNAPPROVED_DISCOUNT_RATE,Unapproved discount rate was the largest PCA reconstruction deviation (observed 0.2016).,Incentive peer median was the next-largest reconstruction deviation (observed 0).,Unapproved discount rate,0.20158102766798414,,1.0,Incentive peer median,0.0,,Calculated incentive,0.0,"Validate the underlying orders, discounts, returns, period timing, and customer context before action.",5514446.46,4812488.879541885,16814281.52,32.62355343588948,0.0,0.0,0.0,0.0,0.11967615430280992,0.12394400005157818,0,91.00240736197631,-0.057092934722051236,UNK,synthetic_derived
2,RPER_9937f96b8dc6afff,REP_bba68d031906,Steve Pepple,MGR_eb86f856200b,Tracy Banks,TEAM_f144a6907dc4,Bravo,TERR_07a5ea4d7ed4,Bravo / Germany,2017-01-01,train,0.9936170212765958,99.36170212765958,229.72564941191308,169.75496134126422,True,True,High,high,PCA_RECONSTRUCTION_INCENTIVE_PEER_MEDIAN,Incentive peer median was the largest PCA reconstruction deviation (observed 0).,Calculated incentive was the next-largest reconstruction deviation (observed 0).,Incentive peer median,0.0,,0.15384615384615385,Calculated incentive,0.0,,Final incentive paid,0.0,"Validate the target, policy tier, adjustment approval, and payout reconciliation before action.",5332991.0,4788106.44810735,15424666.85,33.25489854025555,0.0,0.0,0.0,0.0,0.09704287760993613,0.005025478447665845,0,74.97007171055945,-0.1789276983015191,UNK,synthetic_derived
3,RPER_aab09bf2ab808a27,REP_d21d2dd167c5,Morris Garcia,MGR_eb86f856200b,Tracy Banks,TEAM_f144a6907dc4,Bravo,TERR_07a5ea4d7ed4,Bravo / Germany,2017-01-01,train,0.9893617021276596,98.93617021276596,229.40153213223823,169.75496134126422,True,True,Medium,medium,PCA_RECONSTRUCTION_INCENTIVE_PEER_MEDIAN,Incentive peer median was the largest PCA reconstruction deviation (observed 0).,Calculated incentive was the next-largest reconstruction deviation (observed 0).,Incentive peer median,0.0,,0.15384615384615385,Calculated incentive,0.0,,Final incentive paid,0.0,"Validate the target, policy tier, adjustment approval, and payout reconciliation before action.",8495501.0,7617696.496084867,17210225.67,45.19283404581151,0.0,0.0,0.0,0.0,0.09608625876079623,0.0067445462608152285,0,76.35363828753951,-0.14997201266365734,UNK,synthetic_derived
4,RPER_e45c04d0d84e35a9,REP_bba68d031906,Steve Pepple,MGR_eb86f856200b,Tracy Banks,TEAM_f144a6907dc4,Bravo,TERR_07a5ea4d7ed4,Bravo / Germany,2019-01-01,test,0.9852600059663819,98.52600059663818,199.57548907725223,169.75496134126422,True,True,Medium,medium,PCA_RECONSTRUCTION_INCENTIVE_PEER_MEDIAN,Incentive peer median was the largest PCA reconstruction deviation (observed 0).,Calculated incentive was the next-largest reconstruction deviation (observed 0).,Incentive peer median,0.0,,0.38461538461538464,Calculated incentive,0.0,,Final incentive paid,0.0,"Validate the target, policy tier, adjustment approval, and payout reconciliation before action.",7104577.0,6358383.257678189,16465165.51,42.7347904865229,0.0,0.0,0.0,0.0,0.09846167095033462,0.012302779535846636,0,71.56139341196078,-0.2302617243697741,UNK,synthetic_derived
5,RPER_6378e24425a5676f,REP_db1cc40d477a,Erica Jones,MGR_5e1c70ff0ce6,James Goodwill,TEAM_a405eba78bf2,Alfa,TERR_b31415d90eb9,Alfa / Germany,2019-01-01,test,0.9852110195258285,98.52110195258284,199.21927749365184,169.75496134126422,True,True,Medium,medium,PCA_RECONSTRUCTION_INCENTIVE_PEER_MEDIAN,Incentive peer median was the largest PCA reconstruction deviation (observed 0).,Calculated incentive was the next-largest reconstruction deviation (observed 0).,Incentive peer median,0.0,,0.38461538461538464,Calculated incentive,0.0,,Final incentive paid,0.0,"Validate the target, policy tier, adjustment approval, and payout reconciliation before action.",4283482.0,3840468.447880908,22637523.02,16.435030266499044,0.0,0.0,0.0,0.0,0.09532843271432757,0.0032214340153520903,0,79.75889588518201,-0.13096296240093597,UNK,synthetic_derived
6,RPER_4c8ca2c81587e694,REP_82f7cb811b80,Stella Given,MGR_4b97498897f6,Alisha Cordwell,TEAM_b9dd960c1753,Charlie,TERR_938541fb7311,Charlie / Germany,2019-01-01,test,0.9851701727917148,98.51701727917148,198.92225489557902,169.75496134126422,True,True,Medium,medium,PCA_RECONSTRUCTION_INCENTIVE_PEER_MEDIAN,Incentive peer median was the largest PCA reconstruction deviation (observed 0).,Calculated incentive was the next-largest reconstruction deviation (observed 0).,Incentive peer median,0.0,,0.38461538461538464,Calculated incentive,0.0,,Final incentive paid,0.0,"Validate the target, policy tier, adjustment approval, and payout reconciliation before action.",7132701.0,6374038.213049353,22356044.99,32.36294340876409,0.0,0.0,0.0,0.0,0.09556675363496275,0.002926892087898393,0,92.00164137939659,-0.06018203240678466,UNK,synthetic_derived
7,RPER_2830872bf4889d63,REP_a132178ac1b8,Alan Ray,MGR_5e1c70ff0ce6,James Goodwill,TEAM_a405eba78bf2,Alfa,TERR_b31415d90eb9,Alfa / Germany,2019-01-01,test,0.9851365860437462,98.51365860437463,198.67802427692726,169.75496134126422,True,True,Medium,medium,PCA_RECONSTRUCTION_INCENTIVE_PEER_MEDIAN,Incentive peer median was the largest PCA reconstruction deviation (observed 0).,Calculated incentive was the next-largest reconstruction deviation (observed 0).,Incentive peer median,0.0,,0.38461538461538464,Calculated incentive,0.0,,Final incentive paid,0.0,"Validate the target, policy tier, adjustment approval, and payout reconciliation before action.",6970687.0,6232979.654443469,29593943.0,21.915453729553647,0.0,0.0,0.0,0.0,0.09820362034621076,0.004050646165514913,0,106.83136449358621,0.038643169788522114,UNK,synthetic_derived
8,RPER_8afd0f88595a10ae,REP_2234ec3bee93,Daniel Gates,MGR_4b97498897f6,Alisha Cordwell,TEAM_b9dd960c1753,Charlie,TERR_938541fb7311,Charlie / Germany,2019-01-01,test,0.9851360226155926,98.51360226155926,198.67392723226448,169.75496134126422,True,True,Medium,medium,PCA_RECONSTRUCTION_INCENTIVE_PEER_MEDIAN,Incentive peer median was the largest PCA reconstruction deviation (observed 0).,Calculated incentive was the next-largest reconstruction deviation (observed 0).,Incentive peer median,0.0,,0.38461538461538464,Calculated incentive,0.0,,Final incentive paid,0.0,"Validate the target, policy tier, adjustment approval, and payout reconciliation before action.",6138913.0,5485196.270856696,26851121.25,20.817456149174397,0.0,0.0,0.0,0.0,0.10015988615907725,0.006487640259861287,0,103.64823338167507,0.023714837290379265,UNK,synthetic_derived
9,RPER_5b9ff9cb07f6a5cd,REP_c56e2fba156a,Thompson Crawford,MGR_5e1c70ff0ce6,James Goodwill,TEAM_a405eba78bf2,Alfa,TERR_b31415d90eb9,Alfa / Germany,2019-01-01,test,0.9851333906698906,98.51333906698906,198.65478868012895,169.75496134126422,True,True,Medium,medium,PCA_RECONSTRUCTION_INCENTIVE_PEER_MEDIAN,Incentive peer median was the largest PCA reconstruction deviation (observed 0).,Calculated incentive was the next-largest reconstruction deviation (observed 0).,Incentive peer median,0.0,,0.38461538461538464,Calculated incentive,0.0,,Final incentive paid,0.0,"Validate the target, policy tier, adjustment approval, and payout reconciliation before action.",8156452.0,7322146.18921103,24614430.27,22.130805087013247,0.0,0.0,0.0,0.0,0.09807747829269488,0.0008692919401754352,0,76.87928078545082,-0.16105922768293413,UNK,synthetic_derived
10,RPER_bf09bdbf81b1ae76,REP_d21d2dd167c5,Morris Garcia,MGR_eb86f856200b,Tracy Banks,TEAM_f144a6907dc4,Bravo,TERR_07a5ea4d7ed4,Bravo / Germany,2019-01-01,test,0.9851180788927628,98.51180788927628,198.54344700441578,169.75496134126422,True,True,Medium,medium,PCA_RECONSTRUCTION_INCENTIVE_PEER_MEDIAN,Incentive peer median was the largest PCA reconstruction deviation (observed 0).,Calculated incentive was the next-largest reconstruction deviation (observed 0).,Incentive peer median,0.0,,0.38461538461538464,Calculated incentive,0.0,,Final incentive paid,0.0,"Validate the target, policy tier, adjustment approval, and payout reconciliation before action.",10450053.0,9403723.185175885,24686004.65,44.42272036619697,0.0,0.0,0.0,0.0,0.09887360661706919,0.004990427844791901,0,84.76856142355068,-0.0980332044545058,UNK,synthetic_derived
