observation_id,metric_name,actual_value,peer_median_value,peer_z_score,peer_percentile,peer_group_basis,rep_id,period,rep_name,manager_name,team_name,territory_name
RPER_8ef84997ed6c0c60,net_sales,11024945.902075393,7617696.496084867,0.8121877023194095,1.0,team_period,REP_0dfc420450a6,2017-01-01,Abigail Thompson,Tracy Banks,Bravo,Bravo / Germany
RPER_59ac72916515a02c,net_sales,10118544.233712303,14123129.815838842,-2.835480261347925,0.3333333333333333,team_period,REP_0dfc420450a6,2017-02-01,Abigail Thompson,Tracy Banks,Bravo,Bravo / Germany
RPER_f0e119c32f7152ef,net_sales,13493372.988961333,13493372.988961333,0.0,0.6666666666666666,team_period,REP_0dfc420450a6,2017-03-01,Abigail Thompson,Tracy Banks,Bravo,Bravo / Germany
RPER_f47cf03776f59e89,net_sales,11493126.10057804,13657919.87165363,-1.5850098634481793,0.3333333333333333,team_period,REP_0dfc420450a6,2017-04-01,Abigail Thompson,Tracy Banks,Bravo,Bravo / Germany
RPER_edbf0874ceb5518d,net_sales,20080170.8118605,20080170.8118605,0.0,0.6666666666666666,team_period,REP_0dfc420450a6,2017-05-01,Abigail Thompson,Tracy Banks,Bravo,Bravo / Germany
RPER_142e61e4b1139796,net_sales,23153937.36237149,22186147.360815186,0.4362136362916251,1.0,team_period,REP_0dfc420450a6,2017-06-01,Abigail Thompson,Tracy Banks,Bravo,Bravo / Germany
RPER_ea18e4d5a7139ac6,net_sales,32315329.306028847,16572100.949778052,4.068058132384614,1.0,team_period,REP_0dfc420450a6,2017-07-01,Abigail Thompson,Tracy Banks,Bravo,Bravo / Germany
RPER_92f5efa416810af6,net_sales,16862984.155072518,16862984.155072518,0.0,0.6666666666666666,team_period,REP_0dfc420450a6,2017-08-01,Abigail Thompson,Tracy Banks,Bravo,Bravo / Germany
RPER_0c0bfd5ed13ffea2,net_sales,21423677.40328356,17065337.224008985,2.553913891102536,1.0,team_period,REP_0dfc420450a6,2017-09-01,Abigail Thompson,Tracy Banks,Bravo,Bravo / Germany
RPER_7444942dd8d9920e,net_sales,14486685.823591802,14486685.823591802,0.0,0.6666666666666666,team_period,REP_0dfc420450a6,2017-10-01,Abigail Thompson,Tracy Banks,Bravo,Bravo / Germany
RPER_9252962f47ad7a6a,net_sales,16903563.5833614,16836633.477227226,0.03975266565296463,1.0,team_period,REP_0dfc420450a6,2017-11-01,Abigail Thompson,Tracy Banks,Bravo,Bravo / Germany
RPER_c507c4a06ca478dc,net_sales,10091012.661213355,10091012.661213355,0.0,0.6666666666666666,team_period,REP_0dfc420450a6,2017-12-01,Abigail Thompson,Tracy Banks,Bravo,Bravo / Germany
RPER_7d6c66da7837cf61,net_sales,25430402.660290647,15719116.120103084,2.0762370126979235,1.0,team_period,REP_0dfc420450a6,2018-01-01,Abigail Thompson,Tracy Banks,Bravo,Bravo / Germany
RPER_0ae6354508d10a3e,net_sales,28717397.47486211,15678337.442767413,5.676953074368192,1.0,team_period,REP_0dfc420450a6,2018-02-01,Abigail Thompson,Tracy Banks,Bravo,Bravo / Germany
