observation_id,rep_id,rep_name,manager_id,manager_name,team_id,team_name,territory_id,territory_name,period,payout_date,split,anomaly_score,anomaly_percentile,raw_score,threshold_flag,manager_review_flag,review_priority,risk_band,primary_reason,gross_sales,net_sales,sales_growth,rolling_sales_mean,target_sales,attainment_pct,final_incentive_paid,expected_incentive,incentive_calculation_residual,average_discount_pct,return_rate,post_incentive_return_rate,end_of_period_sales_share,completed_visit_count,average_visit_duration,crm_interaction_count,claimed_expense_amount,distance_claim_ratio,available_field_hours,required_total_hours,capacity_utilization_pct,required_fte,available_fte,fte_gap,priority_customer_coverage_gap,capacity_risk_band,currency_code,data_lineage
RPER_adb7425d1ba527fb,REP_6daf09991b71,Jimmy Grey,MGR_4b97498897f6,Alisha Cordwell,TEAM_b9dd960c1753,Charlie,TERR_938541fb7311,Charlie / Germany,2019-01-01,2019-02-18,test,0.9965187143318572,99.65187143318572,264.3821623057947,True,True,High,high,Unapproved discount rate was the largest PCA reconstruction deviation (observed 0.2016).,5514446.46,4812488.879541885,-0.6566771196095256,18491650.10887788,16814281.52,32.62355343588948,0.0,0.0,0.0,0.11967615430280992,0.17321417219591978,0.12394400005157818,0.8982391520234325,71,49.906666666666666,140,892.796558635536,1.0173386619903415,106.60199254599053,97.01037951268592,91.00240736197631,0.577442735194559,0.6345356699166103,-0.057092934722051236,2.75,medium,UNK,synthetic_derived
RPER_9937f96b8dc6afff,REP_bba68d031906,Steve Pepple,MGR_eb86f856200b,Tracy Banks,TEAM_f144a6907dc4,Bravo,TERR_07a5ea4d7ed4,Bravo / Germany,2017-01-01,2017-02-15,train,0.9936170212765958,99.36170212765958,229.72564941191308,True,True,High,high,Incentive peer median was the largest PCA reconstruction deviation (observed 0).,5332991.0,4788106.44810735,0.0,0.0,15424666.85,33.25489854025555,0.0,0.0,0.0,0.09704287760993613,0.005520046771942791,0.005025478447665845,0.048377497434804476,78,46.926829268292686,169,1064.804248030625,1.0453943701853585,120.09564297208406,90.03578965742886,74.97007171055945,0.5359273193894575,0.7148550176909766,-0.1789276983015191,3.75,low,UNK,synthetic_derived
RPER_aab09bf2ab808a27,REP_d21d2dd167c5,Morris Garcia,MGR_eb86f856200b,Tracy Banks,TEAM_f144a6907dc4,Bravo,TERR_07a5ea4d7ed4,Bravo / Germany,2017-01-01,2017-02-15,train,0.9893617021276596,98.93617021276596,229.40153213223823,True,True,Medium,medium,Incentive peer median was the largest PCA reconstruction deviation (observed 0).,8495501.0,7617696.496084867,0.0,0.0,17210225.67,45.19283404581151,0.0,0.0,0.0,0.09608625876079623,0.006422957877682879,0.0067445462608152285,0.2673627369031113,73,45.44047619047619,161,978.0267412824893,1.0070850986610964,106.55042172605233,81.35512359855791,76.35363828753951,0.48425668808665423,0.6342287007503116,-0.14997201266365734,1.75,low,UNK,synthetic_derived
RPER_e45c04d0d84e35a9,REP_bba68d031906,Steve Pepple,MGR_eb86f856200b,Tracy Banks,TEAM_f144a6907dc4,Bravo,TERR_07a5ea4d7ed4,Bravo / Germany,2019-01-01,2019-02-18,test,0.9852600059663819,98.52600059663818,199.57548907725223,True,True,Medium,medium,Incentive peer median was the largest PCA reconstruction deviation (observed 0).,7104577.0,6358383.257678189,-0.5487045829484168,19664085.59332402,16465165.51,42.7347904865229,0.0,0.0,0.0,0.09846167095033462,0.027401137153224585,0.012302779535846636,0.06624368984531193,61,45.10144927536232,141,802.7484409867526,1.0199863836449932,136.02624859402164,97.3422788998996,71.56139341196078,0.5794183267851166,0.8096800511548907,-0.2302617243697741,5.375,low,UNK,synthetic_derived
RPER_6378e24425a5676f,REP_db1cc40d477a,Erica Jones,MGR_5e1c70ff0ce6,James Goodwill,TEAM_a405eba78bf2,Alfa,TERR_b31415d90eb9,Alfa / Germany,2019-01-01,2019-02-18,test,0.9852110195258285,98.52110195258284,199.21927749365184,True,True,Medium,medium,Incentive peer median was the largest PCA reconstruction deviation (observed 0).,4283482.0,3840468.447880908,-0.7614285097395412,20363549.58763551,22637523.02,16.435030266499044,0.0,0.0,0.0,0.09532843271432757,0.021623129602516358,0.0032214340153520903,0.1384271438713382,70,47.689189189189186,161,837.6473484427987,1.0019988404380549,108.69850556843045,86.69672788507322,79.75889588518201,0.5160519516968644,0.6470149140978003,-0.13096296240093597,0.875,low,UNK,synthetic_derived
RPER_4c8ca2c81587e694,REP_82f7cb811b80,Stella Given,MGR_4b97498897f6,Alisha Cordwell,TEAM_b9dd960c1753,Charlie,TERR_938541fb7311,Charlie / Germany,2019-01-01,2019-02-18,test,0.9851701727917148,98.51701727917148,198.92225489557902,True,True,Medium,medium,Incentive peer median was the largest PCA reconstruction deviation (observed 0).,7132701.0,6374038.213049353,-0.6307316831530208,19842008.20056319,22356044.99,32.36294340876409,0.0,0.0,0.0,0.09556675363496275,0.02462259924015874,0.002926892087898393,0.01994105886138904,78,47.535714285714285,161,1131.445324249857,1.0106203647244332,126.40820353185232,116.2976220875125,92.00164137939659,0.6922477505209077,0.7524297829276924,-0.06018203240678466,2.75,medium,UNK,synthetic_derived
RPER_2830872bf4889d63,REP_a132178ac1b8,Alan Ray,MGR_5e1c70ff0ce6,James Goodwill,TEAM_a405eba78bf2,Alfa,TERR_b31415d90eb9,Alfa / Germany,2019-01-01,2019-02-18,test,0.9851365860437462,98.51365860437463,198.67802427692726,True,True,Medium,medium,Incentive peer median was the largest PCA reconstruction deviation (observed 0).,6970687.0,6232979.654443469,-0.5465671709449788,22663233.480257254,29593943.0,21.915453729553647,0.0,0.0,0.0,0.09820362034621076,0.05664783379226696,0.004050646165514913,0.21687285278579946,78,46.80952380952381,173,883.5869166096488,0.9986765926732847,95.03302789021053,101.52508041468225,106.83136449358621,0.6043159548492991,0.565672785060777,0.038643169788522114,3.625,high,UNK,synthetic_derived
RPER_8afd0f88595a10ae,REP_2234ec3bee93,Daniel Gates,MGR_4b97498897f6,Alisha Cordwell,TEAM_b9dd960c1753,Charlie,TERR_938541fb7311,Charlie / Germany,2019-01-01,2019-02-18,test,0.9851360226155926,98.51360226155926,198.67392723226448,True,True,Medium,medium,Incentive peer median was the largest PCA reconstruction deviation (observed 0).,6138913.0,5485196.270856696,-0.6086185970586594,20647128.11984539,26851121.25,20.817456149174397,0.0,0.0,0.0,0.10015988615907725,0.025721965308053513,0.006487640259861287,0.04049168318286997,80,46.595238095238095,173,946.7070475558518,1.0062990037465507,109.20607998368878,113.1901726484725,103.64823338167507,0.6737510276694791,0.6500361903790999,0.023714837290379265,5.5,high,UNK,synthetic_derived
RPER_5b9ff9cb07f6a5cd,REP_c56e2fba156a,Thompson Crawford,MGR_5e1c70ff0ce6,James Goodwill,TEAM_a405eba78bf2,Alfa,TERR_b31415d90eb9,Alfa / Germany,2019-01-01,2019-02-18,test,0.9851333906698906,98.51333906698906,198.65478868012895,True,True,Medium,medium,Incentive peer median was the largest PCA reconstruction deviation (observed 0).,8156452.0,7322146.18921103,-0.3491282823384948,19429428.008469865,24614430.27,22.130805087013247,0.0,0.0,0.0,0.09807747829269488,0.04074095050210362,0.0008692919401754352,0.03404008236753021,71,50.01315789473684,142,910.866100965178,1.0197454974283342,117.02901626739268,89.97106601665973,76.87928078545082,0.5355420596229746,0.6966012873059088,-0.16105922768293413,2.75,low,UNK,synthetic_derived
RPER_bf09bdbf81b1ae76,REP_d21d2dd167c5,Morris Garcia,MGR_eb86f856200b,Tracy Banks,TEAM_f144a6907dc4,Bravo,TERR_07a5ea4d7ed4,Bravo / Germany,2019-01-01,2019-02-18,test,0.9851180788927628,98.51180788927628,198.54344700441578,True,True,Medium,medium,Incentive peer median was the largest PCA reconstruction deviation (observed 0).,10450053.0,9403723.185175885,-0.5811701539362413,21420820.26036033,24686004.65,44.42272036619697,0.0,0.0,0.0,0.09887360661706919,0.07897148966965253,0.004990427844791901,0.037337311063019386,71,46.333333333333336,151,1028.484355234036,1.0148506638670227,108.1288432848493,91.65926493649232,84.76856142355068,0.5455908627172162,0.643624067171722,-0.0980332044545058,1.75,low,UNK,synthetic_derived
