representative,manager,team,primary_country,latest_month_available,total_observations,high_priority_review_count,medium_priority_review_count,top_5_percent_review_count,maximum_pca_percentile,mean_pca_percentile,latest_pca_percentile,latest_review_priority,strongest_recent_driver,temporal_flag_count,business_rule_flag_count,peer_flag_count,model_agreement_high_count,total_sales,recent_3m_sales,prior_3m_sales,sales_growth_3m,unique_customers_latest,customer_change_3m
Abigail Thompson,Tracy Banks,Bravo,Germany,2019-04-01,168,9,44,5,0.9974683133466408,0.6392055558510105,0.9974683133466408,High,New customers,8,40,9,11,609747571.1066899,69016356.0,49954500.0,0.38158436176920996,232,24
Alan Ray,James Goodwill,Alfa,Germany,2019-04-01,168,12,39,10,0.997609435168574,0.6427291121675186,0.9970032462928052,Medium,New customers,8,54,5,6,514322040.2,49991129.0,52254903.0,-0.04332175298459553,216,-10
Anne Wu,Britanny Bold,Delta,Germany,2019-04-01,168,16,44,12,0.9970169490249884,0.7209494477813198,0.9970169490249884,Medium,New customers,10,56,10,8,553540791.5088999,47706947.0,38302410.0,0.24553381889024736,218,-17
Daniel Gates,Alisha Cordwell,Charlie,Germany,2019-04-01,168,12,28,5,0.9976985761502434,0.631705116647188,0.9976985761502434,High,New customers,15,46,9,10,555921383.0,83966851.0,46806801.0,0.7939027920322946,215,2
Erica Jones,James Goodwill,Alfa,Germany,2019-04-01,168,20,35,12,0.998932384341637,0.6476115205158551,0.9957370228960806,High,New customers,6,49,10,8,540006702.0,64578072.0,46392690.0,0.39198809122730327,210,-7
Jessica Smith,Britanny Bold,Delta,Germany,2019-04-01,168,24,38,18,0.999976065930476,0.7143206417672933,0.996626796588746,High,New customers,6,54,14,12,564400415.0,58971055.0,46217219.0,0.2759542065912707,189,-46
Jimmy Grey,Alisha Cordwell,Charlie,Germany,2019-04-01,168,15,35,6,0.9976513567668128,0.6279319670017114,0.9960567944123486,High,New customers,9,60,6,9,569465644.0,85813998.0,36758532.0,1.334532782756395,214,6
Mary Gerrard,Britanny Bold,Delta,Germany,2019-04-01,168,19,33,13,0.9979225880855066,0.6876655707678199,0.9977538782917644,High,New customers,7,47,10,9,576099086.0,54003173.0,60338427.0,-0.1049953456691869,221,1
Morris Garcia,Tracy Banks,Bravo,Germany,2019-04-01,168,10,39,4,0.9976475867796952,0.600773462862234,0.9953534582156056,High,New customers,12,62,11,14,553803311.0,65920587.0,54510094.0,0.20932807417283117,211,-17
Sheila Stones,Britanny Bold,Delta,Germany,2019-04-01,168,14,41,8,0.9976023455102894,0.7190915924330623,0.9974995768091482,High,New customers,6,38,11,8,557565131.0,65528921.0,42368975.0,0.5466251189697178,220,13
Stella Given,Alisha Cordwell,Charlie,Germany,2019-04-01,168,14,34,5,0.9977405106179558,0.6130446309008952,0.9977405106179558,High,New customers,7,47,4,8,463087534.6,57010790.0,48072762.0,0.18592707446266557,228,-5
Steve Pepple,Tracy Banks,Bravo,Germany,2019-04-01,168,13,37,9,0.9982727813695748,0.6406331572078509,0.9975217707735952,High,New customers,6,51,7,9,508118696.0,46342125.0,39660533.0,0.16846954628673297,228,22
Thompson Crawford,James Goodwill,Alfa,Germany,2019-04-01,168,9,35,4,0.9974942523672512,0.6302376951824988,0.9974727460108496,High,New customers,11,48,5,10,533826275.0,45018146.0,47745984.0,-0.05713230247804716,222,0
