representative,date,total_sales,total_quantity,transaction_count,average_price,median_price,distinct_customers,distinct_products,distinct_cities,distributor_count,active_reps,latitude_dispersion,longitude_dispersion
Abigail Thompson,2017-01-01,12314569.0,25061.0,312,423.5544871794872,450.0,225,176,225,13,1,1.6396221237019388,2.0796311273164974
Abigail Thompson,2017-02-01,11395787.0,34346.0,339,421.7787610619469,453.0,249,183,248,12,1,1.6318858935528855,2.0334798926419966
Abigail Thompson,2017-03-01,15080253.0,39242.0,359,412.66295264623955,424.0,268,180,267,11,1,1.5181320203346098,2.059058074398576
Abigail Thompson,2017-04-01,12852526.0,34672.0,328,410.8567073170732,445.0,231,175,230,13,1,1.6111415070840585,2.1486223932352257
Abigail Thompson,2017-05-01,22478781.0,51748.0,385,423.74545454545455,452.0,267,200,267,13,1,1.6579874975565927,2.0261645963829853
Abigail Thompson,2017-06-01,26704180.0,49214.0,343,410.0524781341108,420.0,260,182,260,13,1,1.4981282672174825,2.1223774756401284
Abigail Thompson,2017-07-01,36596483.30669,79465.5512759,417,421.7482014388489,450.0,303,197,302,14,1,1.5911333560286938,1.994082437272359
Abigail Thompson,2017-08-01,18883791.0,43714.0,404,412.36138613861385,430.0,273,190,272,11,1,1.5496107486029627,2.126248031529163
Abigail Thompson,2017-09-01,24368689.0,75426.0,357,393.28011204481794,430.0,258,184,257,13,1,1.6385836347928342,2.068980484740733
Abigail Thompson,2017-10-01,16305899.0,36677.0,362,414.83977900552486,434.0,263,185,262,12,1,1.6512167378123892,1.938663996806989
Abigail Thompson,2017-11-01,18884531.0,45263.0,417,408.82973621103116,438.0,295,204,295,11,1,1.7254500412644096,2.0861098484513256
Abigail Thompson,2017-12-01,11250031.0,30778.0,287,410.3170731707317,424.0,221,166,221,12,1,1.515191175879298,2.2192226184201185
Abigail Thompson,2018-01-01,28375060.0,58306.0,572,413.993006993007,438.0,373,218,373,17,1,1.622333480266752,5.508839683374205
Abigail Thompson,2018-02-01,32199638.0,72968.0,630,404.04126984126987,420.0,416,220,416,17,1,1.6316379297238788,5.320873547299475
Abigail Thompson,2018-03-01,39779125.0,83697.0,684,411.280701754386,424.0,449,229,448,20,1,1.6234481630729913,5.3818001493477725
Abigail Thompson,2018-04-01,11890083.8,29580.2,530,417.2415094339623,436.5,375,209,375,17,1,1.601734377587477,5.2314180939325565
Abigail Thompson,2018-05-01,15840683.0,40595.0,635,406.91653543307086,445.0,403,221,403,16,1,1.6666280036295695,5.182427871188328
Abigail Thompson,2018-06-01,42063431.0,103220.0,616,420.87824675324674,452.0,413,216,413,20,1,1.630075576261126,5.027243492466971
Abigail Thompson,2018-07-01,24417367.0,59952.0,618,412.1666666666667,415.0,419,221,418,16,1,1.5860197042913466,5.063667247275735
Abigail Thompson,2018-08-01,24513025.0,57502.0,588,421.48979591836735,452.5,379,214,379,15,1,1.6509332823989085,5.270398775602452
Abigail Thompson,2018-09-01,18479278.0,57433.0,532,403.4003759398496,425.5,375,213,375,18,1,1.5822136299685716,5.268669219802364
Abigail Thompson,2018-10-01,26103504.0,64638.0,772,415.6256476683938,435.0,474,233,474,15,1,1.6195084900667338,5.313122848148971
Abigail Thompson,2018-11-01,27482499.0,68593.0,637,408.4662480376766,421.0,415,228,415,16,1,1.6367487168481618,5.208079011827124
Abigail Thompson,2018-12-01,13082721.0,28264.0,530,414.4735849056604,436.5,371,216,371,18,1,1.5467488726479164,5.293423623975775
Abigail Thompson,2019-01-01,9389280.0,19488.0,257,434.05058365758754,445.0,208,159,208,4,1,1.5654706425497502,2.0588926486986923
Abigail Thompson,2019-02-01,14298810.0,33348.0,326,423.05214723926383,445.0,238,179,237,8,1,1.516807013492017,2.054441804511803
Abigail Thompson,2019-03-01,24927753.0,67428.0,401,410.83291770573567,421.0,279,196,278,5,1,1.7072505893133334,2.027725300796536
Abigail Thompson,2019-04-01,29789793.0,53454.0,288,427.5486111111111,451.0,232,166,232,4,1,1.6118837793097365,2.177272412157061
Alan Ray,2017-01-01,17035260.0,30411.0,316,417.0348101265823,424.0,234,177,234,12,1,1.4938464645506213,2.098413970988744
