representative,manager,team,periods,mean_score,max_score
Abigail Thompson,Tracy Banks,Bravo,168,0.6392055558510105,0.9974683133466409
Alan Ray,James Goodwill,Alfa,168,0.6427291121675187,0.9976094351685741
Anne Wu,Britanny Bold,Delta,168,0.7209494477813199,0.9970169490249883
Daniel Gates,Alisha Cordwell,Charlie,168,0.631705116647188,0.9976985761502434
Erica Jones,James Goodwill,Alfa,168,0.6476115205158551,0.998932384341637
Jessica Smith,Britanny Bold,Delta,168,0.7143206417672934,0.9999760659304759
Jimmy Grey,Alisha Cordwell,Charlie,168,0.6279319670017115,0.9976513567668129
Mary Gerrard,Britanny Bold,Delta,168,0.6876655707678199,0.9979225880855066
Morris Garcia,Tracy Banks,Bravo,168,0.600773462862234,0.9976475867796953
Sheila Stones,Britanny Bold,Delta,168,0.7190915924330623,0.9976023455102894
Stella Given,Alisha Cordwell,Charlie,168,0.6130446309008953,0.9977405106179558
Steve Pepple,Tracy Banks,Bravo,168,0.6406331572078509,0.9982727813695748
Thompson Crawford,James Goodwill,Alfa,168,0.630237695182499,0.9974942523672511
