capacity_territory_allocation_id,capacity_record_id,rep_id,rep_name,manager_id,manager_name,team_id,team_name,territory_id,territory_name,period,transaction_count,territory_allocation_share,dominant_territory_id,dominant_territory_name,dominant_territory_flag,allocation_basis,geographic_workload_attribution_flag,residual_allocation_flag,injected_residual_allocation_flag,unrepresented_workload_residual_hours,residual_allocation_columns,planned_visit_count,completed_visit_count,planned_visit_hours,planned_travel_hours,excess_service_visit_count,excess_service_visit_hours,excess_service_travel_hours,excess_service_hours,observed_visit_count,observed_completed_visit_count,observed_visit_hours,observed_travel_hours,required_visit_count,priority_required_visit_count,credited_planned_visit_count,credited_completed_visit_count,required_customer_coverage_hours,required_priority_customer_coverage_hours,customer_coverage_gap,priority_customer_coverage_gap,risk_medium_threshold_pct,risk_high_threshold_pct,risk_critical_threshold_pct,overload_threshold_pct,source_rep_period_utilization_pct,source_rep_period_risk_band,source_rep_period_overload_flag,data_lineage,synthetic_seed,core_required_hours,territory_activity_count,working_days,leave_days,holiday_days,training_hours,administrative_hours,meeting_hours,gross_rostered_field_hours,non_field_hours,available_field_hours,available_hours,nominal_full_time_hours,workload_buffer_hours,required_total_hours,required_hours,required_fte,available_fte,fte_gap,utilization_pct,capacity_utilization_pct,capacity_risk_band,workload_risk_band,capacity_overload_flag,overload_flag,core_workload_geographic_attribution_flag,availability_geographic_attribution_flag,allocation_scope
CAPALLOC_5a4e1f321ec6b1cd,CAPCAL_8ef84997ed6c0c60,REP_0dfc420450a6,Abigail Thompson,MGR_eb86f856200b,Tracy Banks,TEAM_f144a6907dc4,Bravo,TERR_07a5ea4d7ed4,Bravo / Germany,2017-01-01,312.0,1.0,TERR_07a5ea4d7ed4,Bravo / Germany,True,actual visits + owned-customer coverage; availability by rep-period transaction share,True,False,False,0.0,,46.486607142857146,47.942708333333336,37.618948412698415,29.963731423606212,37.513392857142854,30.081051587301587,23.104422167432084,53.18547375473367,84.0,82.0,67.7,53.068153591038296,18.125,7.5,16.0,16.0,2.8571613208548974,2.5035898922834687,2.125,1.875,85.0,100.0,120.0,100.0,107.73352814532856,high,True,synthetic_derived,42,70.43984115715953,312.0,21.0,2.0,2.0,5.0,26.0,6.811004335609031,136.0,37.81100433560903,98.18899566439097,98.18899566439097,168.0,5.635187292572763,76.0750284497323,76.0750284497323,0.4528275502960256,0.5844583075261367,-0.13163075723011108,77.47816131021037,77.47816131021037,low,low,False,False,True,False,core workload is attributed to actual visited territory and owned-customer coverage territory; common availability/non-workload quantities are proportional; calendar-only injected workload residuals are assigned deterministically to the dominant territory
CAPALLOC_9594958b3e456507,CAPCAL_8ef84997ed6c0c60,REP_0dfc420450a6,Abigail Thompson,MGR_eb86f856200b,Tracy Banks,TEAM_f144a6907dc4,Bravo,TERR_49c0203db75f,TERR_49c0203db75f,2017-01-01,0.0,0.0,TERR_07a5ea4d7ed4,Bravo / Germany,False,actual visits + owned-customer coverage; availability by rep-period transaction share,True,False,False,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.375,43.125,72.5,71.625,22.991714246794228,2.3826532212034106,17.75,2.625,85.0,100.0,120.0,100.0,107.73352814532856,high,True,synthetic_derived,42,22.991714246794228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8393371397435383,24.831051386537766,24.831051386537766,0.14780387730082004,0.0,0.14780387730082004,10000.0,10000.0,critical,critical,True,True,True,False,core workload is attributed to actual visited territory and owned-customer coverage territory; common availability/non-workload quantities are proportional; calendar-only injected workload residuals are assigned deterministically to the dominant territory
CAPALLOC_45d1e841b47296ee,CAPCAL_8ef84997ed6c0c60,REP_0dfc420450a6,Abigail Thompson,MGR_eb86f856200b,Tracy Banks,TEAM_f144a6907dc4,Bravo,TERR_938541fb7311,TERR_938541fb7311,2017-01-01,0.0,0.0,TERR_07a5ea4d7ed4,Bravo / Germany,False,actual visits + owned-customer coverage; availability by rep-period transaction share,True,False,False,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.625,9.375,9.375,9.375,1.7331200907751427,0.0,1.25,0.0,85.0,100.0,120.0,100.0,107.73352814532856,high,True,synthetic_derived,42,1.7331200907751427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13864960726201142,1.871769698037154,1.871769698037154,0.011141486297840203,0.0,0.011141486297840203,10000.0,10000.0,critical,critical,True,True,True,False,core workload is attributed to actual visited territory and owned-customer coverage territory; common availability/non-workload quantities are proportional; calendar-only injected workload residuals are assigned deterministically to the dominant territory
CAPALLOC_e0df95e4c6896ef7,CAPCAL_8ef84997ed6c0c60,REP_0dfc420450a6,Abigail Thompson,MGR_eb86f856200b,Tracy Banks,TEAM_f144a6907dc4,Bravo,TERR_b31415d90eb9,TERR_b31415d90eb9,2017-01-01,0.0,0.0,TERR_07a5ea4d7ed4,Bravo / Germany,False,actual visits + owned-customer coverage; availability by rep-period transaction share,True,False,False,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,11.25,12.75,12.75,2.7820553198193414,2.1092477569384336,2.25,1.75,85.0,100.0,120.0,100.0,107.73352814532856,high,True,synthetic_derived,42,2.7820553198193414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22256442558554732,3.004619745404889,3.004619745404889,0.01788464134169577,0.0,0.01788464134169577,10000.0,10000.0,critical,critical,True,True,True,False,core workload is attributed to actual visited territory and owned-customer coverage territory; common availability/non-workload quantities are proportional; calendar-only injected workload residuals are assigned deterministically to the dominant territory
CAPALLOC_18dd63ab4e6fe151,CAPCAL_66e6b26b6761af61,REP_200ef690040c,Mary Gerrard,MGR_31981a685b7e,Britanny Bold,TEAM_4f4a9410ffcd,Delta,TERR_07a5ea4d7ed4,TERR_07a5ea4d7ed4,2017-01-01,0.0,0.0,TERR_49c0203db75f,Delta / Germany,False,actual visits + owned-customer coverage; availability by rep-period transaction share,True,False,False,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.125,0.0,0.0,0.0,4.172649820472448,0.0,3.125,0.0,85.0,100.0,120.0,100.0,90.64694574163593,medium,False,synthetic_derived,42,4.172649820472448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3338119856377958,4.506461806110244,4.506461806110244,0.026824177417322882,0.0,0.026824177417322882,10000.0,10000.0,critical,critical,True,True,True,False,core workload is attributed to actual visited territory and owned-customer coverage territory; common availability/non-workload quantities are proportional; calendar-only injected workload residuals are assigned deterministically to the dominant territory
CAPALLOC_5b153f87fa5d36bb,CAPCAL_66e6b26b6761af61,REP_200ef690040c,Mary Gerrard,MGR_31981a685b7e,Britanny Bold,TEAM_4f4a9410ffcd,Delta,TERR_49c0203db75f,Delta / Germany,2017-01-01,327.0,1.0,TERR_49c0203db75f,Delta / Germany,True,actual visits + owned-customer coverage; availability by rep-period transaction share,True,False,False,0.0,,45.5625,45.114583333333336,35.416666666666664,28.133012659308005,28.4375,22.65,17.07045557852236,39.72045557852236,74.0,71.0,58.06666666666666,45.203468237830364,91.875,45.0,68.875,67.875,31.38331831886763,2.4749999999999996,24.0,1.75,85.0,100.0,120.0,100.0,90.64694574163593,medium,False,synthetic_derived,42,94.93299764484229,327.0,21.0,0.0,1.0,10.0,21.0,7.104880464652645,160.0,38.104880464652645,121.89511953534736,121.89511953534736,168.0,7.594639811587382,102.52763745642967,102.52763745642967,0.6102835562882719,0.7255661877104009,-0.11528263142212902,84.11135560410894,84.11135560410894,low,low,False,False,True,False,core workload is attributed to actual visited territory and owned-customer coverage territory; common availability/non-workload quantities are proportional; calendar-only injected workload residuals are assigned deterministically to the dominant territory
CAPALLOC_b52a73171dbaa881,CAPCAL_66e6b26b6761af61,REP_200ef690040c,Mary Gerrard,MGR_31981a685b7e,Britanny Bold,TEAM_4f4a9410ffcd,Delta,TERR_938541fb7311,TERR_938541fb7311,2017-01-01,0.0,0.0,TERR_49c0203db75f,Delta / Germany,False,actual visits + owned-customer coverage; availability by rep-period transaction share,True,False,False,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.125,1.875,1.875,1.875,1.7331200907751427,0.0,1.25,0.0,85.0,100.0,120.0,100.0,90.64694574163593,medium,False,synthetic_derived,42,1.7331200907751427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1386496072620114,1.871769698037154,1.871769698037154,0.011141486297840203,0.0,0.011141486297840203,10000.0,10000.0,critical,critical,True,True,True,False,core workload is attributed to actual visited territory and owned-customer coverage territory; common availability/non-workload quantities are proportional; calendar-only injected workload residuals are assigned deterministically to the dominant territory
CAPALLOC_96122c76ab588f97,CAPCAL_66e6b26b6761af61,REP_200ef690040c,Mary Gerrard,MGR_31981a685b7e,Britanny Bold,TEAM_4f4a9410ffcd,Delta,TERR_b31415d90eb9,TERR_b31415d90eb9,2017-01-01,0.0,0.0,TERR_49c0203db75f,Delta / Germany,False,actual visits + owned-customer coverage; availability by rep-period transaction share,True,False,False,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,5.625,8.875,8.625,1.4706795428995352,0.0,1.375,0.0,85.0,100.0,120.0,100.0,90.64694574163593,medium,False,synthetic_derived,42,1.4706795428995352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1176543634319628,1.588333906331498,1.588333906331498,0.00945436849006844,0.0,0.00945436849006844,10000.0,10000.0,critical,critical,True,True,True,False,core workload is attributed to actual visited territory and owned-customer coverage territory; common availability/non-workload quantities are proportional; calendar-only injected workload residuals are assigned deterministically to the dominant territory
CAPALLOC_52ddad8d64c20445,CAPCAL_8109e415d61c2f6f,REP_2234ec3bee93,Daniel Gates,MGR_4b97498897f6,Alisha Cordwell,TEAM_b9dd960c1753,Charlie,TERR_07a5ea4d7ed4,TERR_07a5ea4d7ed4,2017-01-01,0.0,0.0,TERR_938541fb7311,Charlie / Germany,False,actual visits + owned-customer coverage; availability by rep-period transaction share,True,False,False,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.375,1.875,2.875,2.875,1.9298783009700178,0.0,1.5,0.0,85.0,100.0,120.0,100.0,90.91985934825698,medium,False,synthetic_derived,42,1.9298783009700178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15439026407760142,2.084268565047619,2.084268565047619,0.012406360506235828,0.0,0.012406360506235828,10000.0,10000.0,critical,critical,True,True,True,False,core workload is attributed to actual visited territory and owned-customer coverage territory; common availability/non-workload quantities are proportional; calendar-only injected workload residuals are assigned deterministically to the dominant territory
CAPALLOC_95caf4aede677909,CAPCAL_8109e415d61c2f6f,REP_2234ec3bee93,Daniel Gates,MGR_4b97498897f6,Alisha Cordwell,TEAM_b9dd960c1753,Charlie,TERR_49c0203db75f,TERR_49c0203db75f,2017-01-01,0.0,0.0,TERR_938541fb7311,Charlie / Germany,False,actual visits + owned-customer coverage; availability by rep-period transaction share,True,False,False,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,37.5,47.25,46.0,24.152068764175375,5.118088919602274,19.0,3.75,85.0,100.0,120.0,100.0,90.91985934825698,medium,False,synthetic_derived,42,24.152068764175375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.93216550113403,26.084234265309405,26.084234265309405,0.15526329919827025,0.0,0.15526329919827025,10000.0,10000.0,critical,critical,True,True,True,False,core workload is attributed to actual visited territory and owned-customer coverage territory; common availability/non-workload quantities are proportional; calendar-only injected workload residuals are assigned deterministically to the dominant territory
