rep_id,rep_name,manager_id,team_id,territory_id,first_observed_period,last_observed_period,product_specialization,source_sales,hire_date,tenure_months,employment_status,role_grade,historical_performance_band,standard_field_hours_per_day,standard_working_days_per_month,baseline_visit_capacity,training_hours,administrative_hours,leave_days,monthly_available_hours,currency_code,attribute_reference_end_date,data_lineage
REP_0dfc420450a6,Abigail Thompson,MGR_eb86f856200b,TEAM_f144a6907dc4,TERR_07a5ea4d7ed4,2017-01-01,2018-06-01,Antiseptics,397263541.10669,2015-02-18,50,active,experienced,leading,8.0,21,84,5,26,2,121.0,UNK,2018-06-01,synthetic_derived
REP_200ef690040c,Mary Gerrard,MGR_31981a685b7e,TEAM_4f4a9410ffcd,TERR_49c0203db75f,2017-01-01,2018-06-01,Antiseptics,375366599.0,2015-01-06,51,active,experienced,leading,8.0,21,84,10,21,0,137.0,UNK,2018-06-01,synthetic_derived
REP_2234ec3bee93,Daniel Gates,MGR_4b97498897f6,TEAM_b9dd960c1753,TERR_938541fb7311,2017-01-01,2018-06-01,Antiseptics,324110157.0,2012-10-27,78,active,senior,developing,8.0,21,92,10,16,1,134.0,UNK,2018-06-01,synthetic_derived
REP_56269a9759c4,Anne Wu,MGR_31981a685b7e,TEAM_4f4a9410ffcd,TERR_49c0203db75f,2017-01-01,2018-06-01,Antiseptics,376990531.5089,2015-04-14,48,active,experienced,leading,8.0,21,84,11,18,0,139.0,UNK,2018-06-01,synthetic_derived
REP_6003efb01f5e,Sheila Stones,MGR_31981a685b7e,TEAM_4f4a9410ffcd,TERR_49c0203db75f,2017-01-01,2018-06-01,Antiseptics,338988536.0,2014-08-03,56,active,experienced,core,8.0,21,84,6,24,2,122.0,UNK,2018-06-01,synthetic_derived
REP_6daf09991b71,Jimmy Grey,MGR_4b97498897f6,TEAM_b9dd960c1753,TERR_938541fb7311,2017-01-01,2018-06-01,Antiseptics,344694078.0,2012-08-25,80,active,senior,core,8.0,21,92,12,18,1,130.0,UNK,2018-06-01,synthetic_derived
REP_82f7cb811b80,Stella Given,MGR_4b97498897f6,TEAM_b9dd960c1753,TERR_938541fb7311,2017-01-01,2018-06-01,Antiseptics,289440595.6,2013-04-26,72,active,senior,developing,8.0,21,92,6,19,0,143.0,UNK,2018-06-01,synthetic_derived
REP_a132178ac1b8,Alan Ray,MGR_5e1c70ff0ce6,TEAM_a405eba78bf2,TERR_b31415d90eb9,2017-01-01,2018-06-01,Antiseptics,324801646.2,2012-12-18,76,active,senior,core,8.0,21,92,9,23,2,120.0,UNK,2018-06-01,synthetic_derived
REP_bba68d031906,Steve Pepple,MGR_eb86f856200b,TEAM_f144a6907dc4,TERR_07a5ea4d7ed4,2017-01-01,2018-06-01,Antiseptics,309118467.0,2016-09-24,31,active,experienced,developing,8.0,21,84,5,19,0,144.0,UNK,2018-06-01,synthetic_derived
REP_c56e2fba156a,Thompson Crawford,MGR_5e1c70ff0ce6,TEAM_a405eba78bf2,TERR_b31415d90eb9,2017-01-01,2018-06-01,Antiseptics,352923460.0,2014-02-24,62,active,senior,leading,8.0,21,92,12,17,0,139.0,UNK,2018-06-01,synthetic_derived
REP_d21d2dd167c5,Morris Garcia,MGR_eb86f856200b,TEAM_f144a6907dc4,TERR_07a5ea4d7ed4,2017-01-01,2018-06-01,Antiseptics,323331929.0,2014-01-05,63,active,senior,developing,8.0,21,92,6,24,2,122.0,UNK,2018-06-01,synthetic_derived
REP_db1cc40d477a,Erica Jones,MGR_5e1c70ff0ce6,TEAM_a405eba78bf2,TERR_b31415d90eb9,2017-01-01,2018-06-01,Antiseptics,343883228.0,2013-02-07,74,active,senior,core,8.0,21,92,11,24,1,125.0,UNK,2018-06-01,synthetic_derived
REP_e7e9152643c7,Jessica Smith,MGR_31981a685b7e,TEAM_4f4a9410ffcd,TERR_49c0203db75f,2017-01-01,2018-06-01,Antiseptics,358150484.0,2015-11-19,41,active,experienced,leading,8.0,21,84,6,25,2,121.0,UNK,2018-06-01,synthetic_derived
